Category                     Main Sources of Water,col_2
Improved,"Public Water Companies Private Water Companies Tubewell/Borehole(Owned)
Tube well/Borehole(Community) Dug well(protected)
Water from Spring) Rainwater
Packaged Bottled Water"
Unimproved,"Dug Well(Unprotected)
Water from Spring(Unprotected) Surface Water(River,Lake,Dam,etc)"
