county,value_1,value_2,value_3
Mombasa,96.4,3.6,474336
Kwale,95.9,4.1,139028
Kilifi,96.4,3.6,487050
Tana River,88.1,11.9,72067
Lamu,60.4,39.6,6713
Taita-Taveta,93,7,119358
Garissa,96.9,3.1,53233
Wajir,90.8,9.2,21644
Mandera,88.7,11.3,35513
Marsabit,76.1,23.9,62937
Isiolo,78.5,21.5,10064
Meru,96.6,3.4,540121
Tharaka-Nithi,95.4,4.6,71236
Embu,83.2,16.8,273715
Kitui,98.2,1.8,259975
Machakos,97.3,2.7,450376
Makueni,96.4,3.6,495460
Nyandarua,91.3,8.7,186155
Nyeri,94.1,5.9,337231
Kirinyaga,88.5,11.5,205572
Murang'a,88.9,11.1,458816
Kiambu,85.6,14.4,813714
Turkana,86,14,97607
West Pokot,97.3,2.7,73787
Samburu,88.8,11.2,44316
Trans Nzoia,95.3,4.7,465777
Uasin Gishu,92.6,7.4,370308
Elgeyo-Marakwet,84.5,15.5,87408
Nandi,89.9,10.1,368373
Baringo,94.2,5.8,233595
Laikipia,91.4,8.6,269496
Nakuru,95.8,4.2,1010856
Narok,91.8,8.2,196209
Kajiado,89.9,10.1,153171
Kericho,91.8,8.2,306891
Bomet,61.1,38.9,167639
Kakamega,99.2,0.8,901815
Vihiga,98.6,1.4,228523
Bungoma,96.9,3.1,572017
Busia,98.6,1.4,415128
Siaya,96.9,3.1,325458
Kisumu,80.7,19.3,402622
Homa Bay,78.8,21.2,181738
Migori,83.6,16.4,401334
Kisii,91,9,313318
Nyamira,85.8,14.2,108031
Nairobi,91.3,8.7,1819702
