county,value_1,value_2,value_3,value_4
Mombasa,36.4,40.2,23.4,782450
Kwale,10.7,76.9,12.4,517666
Kilifi,7.6,85.8,6.6,858379
Tana River,22.3,69.8,7.9,158531
Lamu,19.7,72.2,8.2,103172
Taita-Taveta,16,82.1,1.9,212006
Garissa,11.8,82.1,6.1,497232
Wajir,26.7,64.2,9,446582
Mandera,9.1,76,14.9,360427
Marsabit,27.3,72.5,0.2,236235
Isiolo,47.1,52.1,0.8,140195
Meru,36.9,51.6,11.5,965240
Tharaka-Nithi,21.4,73.8,4.8,234659
Embu,21.6,66.7,11.7,423095
Kitui,27.4,71.4,1.2,675990
Machakos,28.6,62.3,9.1,906382
Makueni,17.9,57.5,24.6,651569
Nyandarua,34.4,60.8,4.8,403392
Nyeri,13.9,75.8,10.3,529451
Kirinyaga,22.5,61.4,16.1,418563
Murang'a,25.1,70.3,4.7,648880
Kiambu,32.7,48.4,18.9,1562302
Turkana,28.2,68.1,3.6,393839
West Pokot,3.3,89.4,7.2,301155
Samburu,48.4,48.8,2.8,134807
Trans Nzoia,42.9,41.2,15.9,589829
Uasin Gishu,21.1,74.9,4,723932
Elgeyo-Marakwet,15,84.5,0.5,246373
Nandi,19.3,71.7,9,538299
Baringo,27.4,65.6,7,339062
Laikipia,25.6,28.2,46.2,330961
Nakuru,33,54.8,12.2,1281346
Narok,9.6,89,1.4,581781
Kajiado,72.4,24,3.7,753613
Kericho,12.8,75.9,11.3,528064
Bomet,2,93.1,4.9,496555
Kakamega,42.3,47.7,10,1145830
Vihiga,56.9,24.6,18.5,350577
Bungoma,36.3,55.9,7.8,896366
Busia,18.9,54,27,505047
Siaya,31,55.5,13.5,550475
Kisumu,30.1,47.9,22,672041
Homa Bay,7.4,83.3,9.3,523438
Migori,39.9,40.3,19.8,521546
Kisii,33.9,61.3,4.8,766133
Nyamira,31.1,66.2,2.7,325375
Nairobi,32.3,54.3,13.4,2956206
