county,value_1
Samburu,21
Trans Nzoia,40
Uasin Gishu,21
Elgeyo-Marakwet,13
Nandi,20
Baringo,13
Laikipia,30
Nakuru,30
Narok,21
Kajiado,35
Kericho,21
Bomet,13
Kakamega,21
Vihiga,13
Bungoma,16
Busia,21
Siaya,5
Kisumu,21
Homa Bay,26
Migori,21
Kisii,38
Nyamira,21
Nairobi,21
