county,value_1,value_2,value_3
Mombasa,49.8,50.2,1311860
Kwale,49.6,50.4,944464
Kilifi,49.7,50.3,1577335
Tana River,49.4,50.6,352549
Lamu,49.9,50.1,167332
Taita-Taveta,49.3,50.7,363990
Garissa,49.5,50.5,927031
Wajir,49.6,50.4,870636
Mandera,49,51,959236
Marsabit,49.7,50.3,515292
Isiolo,48.9,51.1,315937
Meru,49.7,50.3,1625982
Tharaka-Nithi,49.1,50.9,416383
Embu,49.4,50.6,648425
Kitui,49,51,1229790
Machakos,49.5,50.5,1487758
Makueni,49.2,50.8,1042300
Nyandarua,49.2,50.8,695531
Nyeri,49,51,835408
Kirinyaga,48.8,51.2,653112
Murang'a,49.1,50.9,1112288
Kiambu,49.6,50.4,2652880
Turkana,49.4,50.6,1022773
West Pokot,49.3,50.7,676326
Samburu,49.5,50.5,348298
Trans Nzoia,49.8,50.2,1069039
Uasin Gishu,49.6,50.4,1257330
Elgeyo-Marakwet,49.6,50.4,495239
Nandi,49,51,951460
Baringo,49.3,50.7,733333
Laikipia,48.3,51.7,561223
Nakuru,49.6,50.4,2347849
Narok,49.4,50.6,1284204
Kajiado,49.7,50.3,1268261
Kericho,49.3,50.7,954896
Bomet,49.1,50.9,939761
Kakamega,50.1,49.9,2002435
Vihiga,48.6,51.4,625765
Bungoma,50.4,49.6,1786973
Busia,49.4,50.6,968763
Siaya,50.5,49.5,1059458
Kisumu,49.7,50.3,1248474
Homa Bay,49.1,50.9,1231659
Migori,49.2,50.8,1234082
Kisii,49.6,50.4,1344907
Nyamira,48.4,51.6,657502
Nairobi,50,50,4750056
