county,value_1
Mombasa,1
Kwale,1
Kilifi,1
Tana River,1
Lamu,1
Taita-Taveta,1
Garissa,2
Wajir,1
Mandera,1
Marsabit,1
Isiolo,1
Meru,1
Tharaka-Nithi,1
Embu,4
Kitui,2
Machakos,2
Makueni,1
Nyandarua,2
Nyeri,1
Kirinyaga,2
Murang'a,2
Kiambu,5
Turkana,1
West Pokot,1
Samburu,2
Trans Nzoia,1
Uasin Gishu,1
Elgeyo-Marakwet,2
Nandi,1
Baringo,1
Laikipia,1
Nakuru,2
Narok,1
Kajiado,1
Kericho,1
Bomet,1
Kakamega,1
Vihiga,1
Bungoma,1
Busia,2
Siaya,1
Kisumu,2
Homa Bay,2
Migori,1
Kisii,2
Nyamira,1
Nairobi,2
