county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,695,762,450,600,64.7,78.7
Kwale,..,..,..,..,..,..
Kilifi,9,..,..,686,..,..
Tana River,..,..,..,..,..,..
Lamu,70,80,60,70,85.7,87.5
Taita-Taveta,..,..,..,..,..,..
Garissa,53,47,40,32,75.5,68.1
Wajir,21,23,21,14,100,60.9
Mandera,6,4,5,4,83.3,100
Marsabit,3,3,3,3,100,100
Isiolo,16,13,12,10,75,76.9
Meru,34,18,34,18,100,100
Tharaka-Nithi,121,143,113,137,93.4,95.8
Embu,176,161,150,139,85.2,86.3
Kitui,40,50,40,50,100,100
Machakos,1100,1600,1030,1500,93.6,93.8
Makueni,180,200,162,181,90,90.5
Nyandarua,376,296,323,268,85.9,90.5
Nyeri,256,229,256,229,100,100
Kirinyaga,170,173,150,167,88.2,96.5
Murang'a,400,500,392,490,98,98
Kiambu,..,..,830,1256,..,..
Turkana,33,39,30,38,90.9,97.4
West Pokot,21,30,21,28,100,93.3
Samburu,12,10,16,17,133.3,170
Trans Nzoia,90,59,90,59,100,100
Uasin Gishu,937,788,937,788,100,100
Elgeyo-Marakwet,51,44,48,44,94.1,100
Nandi,54,98,36,67,66.7,68.4
Baringo,90,110,85,100,94.4,90.9
Laikipia,235,261,225,250,95.7,95.8
Nakuru,1168,636,968,577,82.9,90.7
Narok,264,194,258,186,97.7,95.9
Kajiado,661,483,610,470,92.3,97.3
Kericho,2022,30,10,15,0.5,50
Bomet,40,45,40,45,100,100
Kakamega,523,592,523,592,100,100
Vihiga,404,284,381,269,94.3,94.7
Bungoma,296,326,296,326,100,100
Busia,394,462,372,401,94.4,86.8
Siaya,58,71,..,60,..,84.5
Kisumu,522,684,519,592,99.4,86.5
Homa Bay,240,300,240,300,100,100
Migori,168,202,159,192,94.6,95
Nyamira,115,132,100,126,87,95.5
Nairobi,3312,960,3312,960,100,100
