col_1,"Collected by County Gov-
ernment",Collected by Community Association,Collected by Private Company,Collected by Youth Group,Dumped in the Compound,Dumped in the street/vacant plot/drainage,Dumped in a pit,Dumped in the latrine,Burnt in the open,Buried,Others
Kenya,5.3,1,9.5,6.3,7.5,2.8,28.6,0.5,36.8,0.8,1
Rural,0.7,0.2,0.7,0.1,9.6,1.7,35.9,0.6,48.2,1.1,1.1
Urban,12.6,2.3,23.4,16.3,4,4.5,17,0.3,18.6,0.3,0.7
