Category                     Mode,col_2
Improved,"Flush to Main sewer Flush to Septic tank Flush to Cess pool Flush to pit latrine
Ventilated Improved Pit(VIP) latrine Flush to Don't Know where
Pit latrine covered Biodigester
Composting toilet"
Unimproved,"Pit Latrine without slab/ Open pit Bucket Toilet
Hanging toilet/ Hanging latrine
No facility/Bush/Field"
